credit,debit,date,l,s,d
29,17,1583-08-25,81,12,11
55,17,1583-12-28,43,7,3
1,51,1582-11-08,34,4,1
1,52,1582-11-08,2,6,8
1,53,1582-11-08,3265,13,10
53,57,1583-09-08,16,9,0
53,179,1583-10-25,27,2,6
164,53,1584-03-15,1,1,11
1,54,1582-11-08,8,15,7
1,55,1582-11-08,100,0,0
1,56,1582-11-08,15,10,0
1,44,1582-11-08,19,0,0
1,57,1582-11-08,100,14,11
2,57,1583-09-26,160,0,0
2,57,1583-11-28,159,11,8
2,57,1583-11-28,76,8,10
57,213,1584-07-30,88,0,0
1,58,1582-11-08,122,8,6
2,58,1583-11-16,0,2,0
74,58,1583-11-16,2,0,0
1,59,1582-11-08,153,15,6
59,171,1582-11-23,153,15,6
1,60,1582-11-08,6,3,2
164,60,1583-01-15,4,5,6
60,2,1583-05-21,159,11,8
60,164,1583-06-29,4,5,6
60,66,1583-08-01,3,10,0
2,60,1583-08-13,100,0,0
2,60,1583-08-13,241,18,0
2,60,1583-08-13,45,1,7
2,60,1583-08-25,0,5,0
2,60,1583-08-25,146,7,1
2,60,1583-09-06,70,5,10
60,147,1583-09-19,603,12,6
2,60,1583-11-04,0,14,7
1,61,1582-11-08,326,14,11
1,62,1582-11-08,0,6,2
2,62,1583-08-11,4,3,4
1,63,1582-11-08,14,17,5
1,55,1582-11-08,96,6,0
2,55,1582-11-17,95,0,0
2,55,1582-11-28,12,0,0
55,66,1583-01-10,14,17,3
2,55,1583-01-22,50,3,4
26,55,1583-02-05,200,0,0
2,55,1583-02-16,4,3,4
2,55,1583-02-16,50,0,0
55,135,1583-06-29,101,0,0
55,64,1583-06-29,4,13,0
55,76,1583-06-29,53,9,2
2,55,1583-08-25,30,0,0
2,55,1583-11-29,13,7,2
1,51,1582-11-08,163,4,0
1,64,1582-11-08,462,5,10
64,86,1583-01-06,16,0,0
64,19,1583-01-06,8,6,8
2,64,1583-02-16,42,17,4
64,2,1583-07-17,1,10,0
64,86,1583-07-17,3,19,7
1,65,1582-11-08,1,0,9.5
2,65,1582-11-23,1,6,4
2,65,1583-01-03,1,3,4
2,65,1583-01-07,2,13,4
2,65,1583-01-31,1,17,4
2,65,1583-03-12,0,12,8
65,2,1583-03-16,9,12,6
65,2,1583-04-26,23,6,6
65,2,1583-04-26,6,3,8
2,65,1583-04-27,1,4,8
65,2,1583-05-14,10,11,4
65,2,1583-08-11,15,0,0
65,2,1583-08-11,3,6,8
2,65,1583-08-11,5,17,4
65,2,1583-08-11,6,17,6
65,2,1583-09-06,0,12,2
2,65,1583-09-24,2,13,4
2,65,1583-10-26,1,16,8
2,65,1583-11-02,1,0,0
2,65,1583-11-02,1,6,8
2,65,1584-02-03,1,0,0
2,65,1584-02-03,1,19,3
65,2,1584-03-15,5,10,0
65,2,1584-03-20,12,4,8
65,2,1584-04-12,10,7,8
2,65,1584-04-22,3,4,8
2,65,1584-05-07,1,15,0
65,2,1584-12-07,7,10,0
65,2,1584-12-31,13,15,0
2,65,1585-01-18,1,10,0
65,2,1585-01-18,5,12,5
2,65,1585-02-19,1,14,1
2,65,1585-02-19,8,16,2
2,65,1585-03-01,1,16,3
2,65,1594-01-20,0,6,6
1,66,1582-11-08,17,10,9
66,163,1583-01-10,36,8,3
2,66,1583-02-12,0,7,8
66,26,1583-08-04,346,12,4
66,26,1583-08-07,109,4,9
2,66,1583-08-25,50,0,0
2,66,1583-10-15,100,0,0
2,66,1583-10-15,50,0,0
2,66,1583-10-28,50,0,0
2,66,1583-11-28,50,0,0
2,66,1583-11-29,12,2,1
2,66,1583-12-15,15,0,0
2,66,1584-01-07,116,13,4
66,2,1584-02-20,61,6,2
2,66,1584-03-22,29,7,4
1,67,1582-11-08,216,4,8
2,67,1583-10-21,25,8,3
1,68,1582-11-08,249,1,1
1,69,1582-11-08,46,4,6
69,2,1584-07-02,21,6,3
69,2,1584-07-17,18,8,0
1,70,1582-11-08,2,10,4
1,71,1582-11-08,17,12,0
71,57,1583-09-19,8,16,0
1,72,1582-11-08,16,6,10
73,72,1584-02-22,8,18,4
73,72,1594-09-20,25,6,3
1,73,1582-11-08,95,11,10
73,26,1583-02-21,152,6,2
73,96,1584-02-22,31,5,0
1,74,1582-11-08,2,0,0
1,61,1582-11-08,5446,3,7
1,30,1582-11-08,14112,8,8
164,30,1583-06-29,11,18,0
164,30,1583-06-29,21,3,0
27,30,1583-06-29,46,15,2.5
1,75,1582-11-08,14,16,10
1,76,1582-11-08,5288,17,2
2,76,1582-12-04,6,13,4
2,76,1582-12-29,40,0,0
64,76,1583-01-06,8,19,6.5
35,76,1583-01-06,91,12,5
66,76,1583-01-10,1,0,0
66,76,1583-01-10,1,13,7
163,76,1583-01-10,72,19,11
76,66,1583-01-15,1,14,5
164,76,1583-01-15,1,2,3
164,76,1583-01-15,1,9,9
164,76,1583-01-15,14,4,3
76,83,1583-01-15,34,12,5
164,76,1583-01-15,5,12,1
76,83,1583-01-15,5,17,9
164,76,1583-01-15,55,17,4
164,76,1583-01-15,6,2,0
164,76,1583-01-15,8,16,10
2,76,1583-01-22,1,16,8
2,76,1583-02-07,6,5,0
55,76,1583-02-12,10,17,8
2,76,1583-02-12,16,13,4
2,76,1583-02-12,16,13,4
2,76,1583-02-18,8,13,4
